Data Dealer,criminal,resource,core,"<strong>[click]</strong>, <strong>forfeit 1 agenda:</strong> Gain 9[credit].",Connection - Seedy
Decoy,criminal,resource,core,[trash]: Avoid receiving 1 tag.,Connection
"Kate ""Mac"" McCaffrey: Digital Tinker",shaper,identity,core,Lower the install cost of the first program or piece of hardware you install each turn by 1.,Natural
Diesel,shaper,event,core
Modded,shaper,event,core,"Install a program or piece of hardware, lowering the install cost by 3.",Mod
The Maker's Eye,shaper,event,core,"Run R&D. If successful, access 2 additional cards when you breach R&D.",Run
Tinkering,shaper,event,core,"Choose a piece of ice. That ice gains <strong>sentry</strong>, <strong>code gate</strong>, and <strong>barrier</strong> until the end of the turn.",Mod
Akamatsu Mem Chip,shaper,hardware,core,+1[mu],Chip
Rabbit Hole,shaper,hardware,core,"+1[link]
When Rabbit Hole is installed, you may search your stack for another copy of Rabbit Hole and install it by paying its install cost. Shuffle your stack.",Link
The Personal Touch,shaper,hardware,core,"Install The Personal Touch only on an <strong>icebreaker.</strong>
Host <strong>icebreaker</strong> has +1 strength.",Mod
The Toolbox,shaper,hardware,core,"+2[mu] +2[link]
2[recurring-credit]
Use these credits to pay for using <strong>icebreakers</strong>.
Limit 1 <strong>console</strong> per player.",Console
Battering Ram,shaper,program,core,"Interface → <strong>2[credit]:</strong> Break up to 2 <strong>barrier</strong> subroutines.
<strong>1[credit]:</strong> +1 strength for the remainder of this run.",Icebreaker - Fracter
Gordian Blade,shaper,program,core,"Interface → 1[credit]: Break 1 <strong>code gate</strong> subroutine.
1[credit]: +1 strength for the remainder of this run.",Icebreaker - Decoder
Magnum Opus,shaper,program,core
Net Shield,shaper,program,core
Pipeline,shaper,program,core,"Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>2[credit]:</strong> +1 strength for the remainder of this run.",Icebreaker - Killer
Aesop's Pawnshop,shaper,resource,core,"When your turn begins, you may trash 1 of your other installed cards. If you do, gain 3[credit].",Connection - Location
Sacrificial Construct,shaper,resource,core,[trash]: Prevent an installed program or an installed piece of hardware from being trashed.,Remote
Infiltration,neutral-runner,event,core
Sure Gamble,neutral-runner,event,core
Crypsis,neutral-runner,program,core,"Interface → <strong>1[credit]:</strong> Break 1 subroutine.
<strong>1[credit]:</strong> +1 strength.
<strong>[click]:</strong> Place 1 virus counter on this program.
Whenever an encounter ends, if you used this program to break a subroutine during that encounter, remove 1 hosted virus counter or trash this program.",Icebreaker - AI - Virus
Access to Globalsec,neutral-runner,resource,core,+1[link],Link
Armitage Codebusting,neutral-runner,resource,core,"Place 12[credit] from the bank on Armitage Codebusting when it is installed. When there are no credits left on Armitage Codebusting, trash it.
[click]: Take 2[credit] from Armitage Codebusting.",Job
Haas-Bioroid: Engineering the Future,haas-bioroid,identity,core,"The first time you install a card each turn, gain 1[credit].",Megacorp
Accelerated Beta Test,haas-bioroid,agenda,core,"When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at.",Research
Adonis Campaign,haas-bioroid,asset,core,"Put 12[credit] from the bank on Adonis Campaign when rezzed. When there are no credits left on Adonis Campaign, trash it.
Take 3[credit] from Adonis Campaign when your turn begins.",Advertisement
Aggressive Secretary,haas-bioroid,asset,core,"Aggressive Secretary can be advanced.
If you pay 2[credit] when the Runner accesses Aggressive Secretary, trash 1 program for each advancement token on Aggressive Secretary.",Ambush
Archived Memories,haas-bioroid,operation,core
Biotic Labor,haas-bioroid,operation,core
Shipment from MirrorMorph,haas-bioroid,operation,core
Heimdall 1.0,haas-bioroid,ice,core,"<strong>Lose [click]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability.
[subroutine] Do 1 brain damage.
[subroutine] End the run.
[subroutine] End the run.",Barrier - Bioroid - AP
Ichi 1.0,haas-bioroid,ice,core,"<strong>Lose [click]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability.
[subroutine] Trash 1 installed program.
[subroutine] Trash 1 installed program.
[subroutine] Trace[1]. If successful, give the Runner 1 tag and do 1 brain damage.",Sentry - Bioroid - Tracer - Destroyer
Viktor 1.0,haas-bioroid,ice,core,"<strong>Lose [click]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability.
[subroutine] Do 1 brain damage.
[subroutine] End the run.",Code Gate - Bioroid - AP
Rototurret,haas-bioroid,ice,core,"[subroutine] Trash 1 installed program.
[subroutine] End the run.",Sentry - Destroyer
Corporate Troubleshooter,haas-bioroid,upgrade,core
Experiential Data,haas-bioroid,upgrade,core
Jinteki: Personal Evolution,jinteki,identity,core,"Whenever an agenda is scored or stolen, do 1 net damage.",Megacorp
Nisei MK II,jinteki,agenda,core,"When you score this agenda, place 1 agenda counter on it.
<strong>Hosted agenda counter:</strong> End the run.",Initiative
Project Junebug,jinteki,asset,core,"Project Junebug can be advanced.
If you pay 1[credit] when the Runner accesses Project Junebug, do 2 net damage for each advancement token on Project Junebug.",Ambush - Research
Snare!,jinteki,asset,core,"While the Runner is accessing this card from R&D, they must reveal it.
When the Runner accesses this card from anywhere except Archives, you may pay 4[credit]. If you do, give the Runner 1 tag and do 3 net damage.",Ambush
Zaibatsu Loyalty,jinteki,asset,core
Neural EMP,jinteki,operation,core,"Play only if the Runner made a run during his or her last turn.
Do 1 net damage.",Gray Ops
Precognition,jinteki,operation,core
Cell Portal,jinteki,ice,core,[subroutine] The Runner moves to the outermost position of the attacked server. They may jack out. Derez this ice.,Code Gate - Deflector
Chum,jinteki,ice,core,"[subroutine] The next piece of ice the Runner encounters during this run gets +2 strength. When that encounter ends, if the Runner did not fully break that ice, do 3 net damage.",Code Gate
Data Mine,jinteki,ice,core,[subroutine] Do 1 net damage. Trash Data Mine.,Trap - AP
Neural Katana,jinteki,ice,core,[subroutine] Do 3 net damage.,Sentry - AP
Wall of Thorns,jinteki,ice,core,"[subroutine] Do 2 net damage.
[subroutine] End the run.",Barrier - AP
Akitaro Watanabe,jinteki,upgrade,core,The rez cost of ice protecting this server is lowered by 2.,Sysop - Unorthodox
NBN: Making News,nbn,identity,core,"2[recurring-credit]
Use these credits during trace attempts.",Megacorp
AstroScript Pilot Program,nbn,agenda,core,"When you score this agenda, place 1 agenda counter on it.
<strong>Hosted agenda counter:</strong> Place 1 advancement counter on 1 installed card that you can advance.
Limit 1 per deck.",Initiative
Breaking News,nbn,agenda,core
Anonymous Tip,nbn,operation,core
Closed Accounts,nbn,operation,core,"Play only if the Runner is tagged.
The Runner loses all credits in his or her credit pool.",Gray Ops
Psychographics,nbn,operation,core
SEA Source,nbn,operation,core
Ghost Branch,nbn,asset,core,"Ghost Branch can be advanced.
When the Runner accesses Ghost Branch, you may give the Runner 1 tag for each advancement token on Ghost Branch.",Ambush - Facility
Data Raven,nbn,ice,core,"When the Runner encounters Data Raven, he or she must either take 1 tag or end the run.
<strong>Hosted power counter:</strong> Give the Runner 1 tag.
[subroutine] <trace>Trace 3</trace> If successful, place 1 power counter on Data Raven.",Sentry - Tracer - Observer
Matrix Analyzer,nbn,ice,core,"When the Runner encounters Matrix Analyzer, you may pay 1[credit] to place 1 advancement token on a card that can be advanced.
[subroutine] <trace>Trace 2</trace> If successful, give the Runner 1 tag.",Sentry - Tracer - Observer
Tollbooth,nbn,ice,core,"When the Runner encounters this ice, they must pay 3[credit], if able. If they do not, end the run.
[subroutine] End the run.",Code Gate
Red Herrings,nbn,upgrade,core
SanSan City Grid,nbn,upgrade,core,"Each agenda in the root of this server gets -1 advancement requirement.
Limit 1 <strong>region</strong> per server.",Region
Weyland Consortium: Building a Better World,weyland-consortium,identity,core,"Whenever you play a <strong>transaction</strong> operation, gain 1[credit].",Megacorp
Hostile Takeover,weyland-consortium,agenda,core,"When you score this agenda, gain 7[credit] and take 1 bad publicity.",Expansion
Posted Bounty,weyland-consortium,agenda,core,"When you score Posted Bounty, you may forfeit it to give the Runner 1 tag and take 1 bad publicity.",Security
Security Subcontract,weyland-consortium,asset,core,"[click], <strong>trash a rezzed piece of ice:</strong> Gain 4[credit].",Transaction
Aggressive Negotiation,weyland-consortium,operation,core
Beanstalk Royalties,weyland-consortium,operation,core,Gain 3[credit].,Transaction
Scorched Earth,weyland-consortium,operation,core,"Play only if the Runner is tagged.
Do 4 meat damage.",Black Ops
Shipment from Kaguya,weyland-consortium,operation,core
Archer,weyland-consortium,ice,core,"As an additional cost to rez this ice, forfeit 1 agenda.
[subroutine] Gain 2[credit].
[subroutine] Trash 1 installed program.
[subroutine] Trash 1 installed program.
[subroutine] End the run.",Sentry - Destroyer
Hadrian's Wall,weyland-consortium,ice,core,"Hadrian's Wall can be advanced and has +1 strength for each advancement token on it.
[subroutine] End the run.
[subroutine] End the run.",Barrier
Ice Wall,weyland-consortium,ice,core,"You can advance this ice. It gets +1 strength for each hosted advancement counter.
[subroutine] End the run.",Barrier
Shadow,weyland-consortium,ice,core,"Shadow can be advanced and has +1 strength for each advancement token on it.
[subroutine] The Corp gains 2[credit].
[subroutine] <trace>Trace 3</trace> If successful, give the Runner 1 tag.",Sentry - Tracer
Research Station,weyland-consortium,upgrade,core,"Install only in the root of HQ.
Your maximum hand size is +2.",Facility
Priority Requisition,neutral-corp,agenda,core,"When you score Priority Requisition, you may rez a piece of ice ignoring all costs.",Security
Private Security Force,neutral-corp,agenda,core,"If the Runner is tagged, Private Security Force gains: ""[click]: Do 1 meat damage.""",Security
Melange Mining Corp.,neutral-corp,asset,core
PAD Campaign,neutral-corp,asset,core,"When your turn begins, gain 1[credit].",Advertisement
Hedge Fund,neutral-corp,operation,core,Gain 9[credit].,Transaction
Enigma,neutral-corp,ice,core,"[subroutine] The Runner loses [click].
[subroutine] End the run.",Code Gate
Hunter,neutral-corp,ice,core,"[subroutine] <trace>Trace 3</trace> If successful, give the Runner 1 tag.",Sentry - Tracer - Observer
Wall of Static,neutral-corp,ice,core,[subroutine] End the run.,Barrier
Whizzard: Master Gamer,anarch,identity,wla,"3[recurring-credit]
Use these credits to trash cards.",Natural
Spinal Modem,anarch,hardware,wla,"+1[mu], 2[recurring-credit]
Use these credits to pay for using <strong>icebreakers</strong>.
Whenever there is a successful trace during a run, suffer 1 brain damage.
Limit 1 <strong>console</strong> per player.",Console
Imp,anarch,program,wla,"When you install this program, place 2 virus counters on it.
Access → <strong>Hosted virus counter:</strong> Trash the card you are accessing. Use this ability only once per turn.",Virus
Morning Star,anarch,program,wla,Interface → <strong>1[credit]:</strong> Break any number of <strong>barrier</strong> subroutines.,Icebreaker - Fracter
Cortez Chip,criminal,hardware,wla,[trash]: Choose a piece of ice. The Corp must pay 2[credit] as an additional cost to rez that ice until the end of the turn.,Chip
Peacock,criminal,program,wla,"Interface → <strong>2[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.
<strong>2[credit]:</strong> +3 strength.",Icebreaker - Decoder
ZU.13 Key Master,shaper,program,wla,"If you have at least 2[link], the memory cost of this program is 0[mu], even if it is not installed.
Interface → <strong>1[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.
<strong>1[credit]:</strong> +1 strength.",Icebreaker - Decoder - Cloud
The Helpful AI,shaper,resource,wla,"+1[link]
[trash]: Choose an <strong>icebreaker</strong>. That <strong>icebreaker</strong> has +2 strength until the end of the turn.",Connection - Link - Virtual
Plascrete Carapace,neutral-runner,hardware,wla,"Place 4 power counters on Plascrete Carapace when it is installed. When there are no power counters left on Plascrete Carapace, trash it.
<strong>Hosted power counter:</strong> Prevent 1 meat damage.",Gear
Haas-Bioroid: Stronger Together,haas-bioroid,identity,wla,All <strong>bioroid</strong> ice has +1 strength.,Megacorp
Mandatory Upgrades,haas-bioroid,agenda,wla,You have 1 additional [click] to spend each turn.,Initiative
Janus 1.0,haas-bioroid,ice,wla,"<strong>Lose [click]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability.
[subroutine] Do 1 brain damage.
[subroutine] Do 1 brain damage.
[subroutine] Do 1 brain damage.
[subroutine] Do 1 brain damage.",Sentry - Bioroid - AP
Ash 2X3ZB9CY,haas-bioroid,upgrade,wla,"Whenever there is a successful run on this server, <trace>trace 4</trace> if successful, the Runner cannot access any cards other than Ash 2X3ZB9CY for the remainder of this run.",Bioroid
Braintrust,jinteki,agenda,wla,"When you score Braintrust, place 1 agenda counter on it for every 2 advancement tokens on it over 3.
The rez cost of all ice is lowered by 1 for each agenda counter on Braintrust.",Research
Snowflake,jinteki,ice,wla,"[subroutine] You and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. End the run if you and the Runner spent a different number of credits.",Barrier - Psi
Restructured Datapool,nbn,agenda,wla,"[click]: <trace>Trace 2</trace> If successful, give the Runner 1 tag.",Initiative
TMI,nbn,ice,wla,"When you rez TMI, <trace>trace 2</trace> if unsuccessful, derez TMI.
[subroutine] End the run.",Barrier
Project Atlas,weyland-consortium,agenda,wla,"When you score this agenda, place 1 agenda counter on it for each hosted advancement counter past 3.
<strong>Hosted agenda counter:</strong> Search R&D for 1 card and reveal it. Add it to HQ.",Research
Caduceus,weyland-consortium,ice,wla,"[subroutine] <trace>Trace 3</trace> If successful, the Corp gains 3[credit].
[subroutine] <trace>Trace 2</trace> If successful, end the run.",Sentry - Tracer
Draco,neutral-corp,ice,wla,"When you rez Dracō, you may pay X[credit] to place X power counters on it.
Dracō has +1 strength for each power counter on it.
[subroutine] <trace>Trace 2</trace> If successful, give the Runner 1 tag and end the run.",Sentry - Tracer
Vamp,anarch,event,ta,"Run HQ. If successful, instead of breaching HQ, you may spend X[credit]. If you do, the Corp loses X[credit]. If you spent credits, take 1 tag.",Run - Sabotage
Liberated Account,anarch,resource,ta
Satellite Uplink,criminal,event,ta
e3 Feedback Implants,criminal,hardware,ta,"Whenever you break a subroutine on a piece of ice, you may pay 1[credit] to break 1 subroutine on that ice.
<errata>Errata from FAQ 3.0.1</errata>",Mod
Compromised Employee,criminal,resource,ta,"1[recurring-credit]
Use this credit during traces.
Gain 1[credit] whenever the Corp rezzes a piece of ice.",Connection - Link
Notoriety,shaper,event,ta
Snowball,shaper,program,ta,"Interface → <strong>1[credit]:</strong> Break 1 <strong>barrier</strong> subroutine.
<strong>1[credit]:</strong> +1 strength.
Whenever you use this program to break a subroutine, this program gets +1 strength for the remainder of this run.",Icebreaker - Fracter
Dyson Mem Chip,neutral-runner,hardware,ta,"+1[mu], +1[link]",Chip - Link
Encryption Protocol,haas-bioroid,asset,ta
Sherlock 1.0,haas-bioroid,ice,ta,"<strong>Lose [click]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability.
[subroutine] Trace[4]. If successful, add 1 installed program to the top of the Runner's stack.
[subroutine] Trace[4]. If successful, add 1 installed program to the top of the Runner's stack.",Sentry - Bioroid - Tracer
Jinteki: Replicating Perfection,jinteki,identity,ta,The Runner cannot run on remote servers. Ignore this ability until the end of the turn whenever the Runner runs on a central server.,Megacorp
Fetal AI,jinteki,agenda,ta,"If Fetal AI is accessed from R&D, the Runner must reveal it.
When the Runner accesses Fetal AI, do 2 net damage. Ignore this ability if the Runner accesses Fetal AI from Archives.
As an additional cost to steal Fetal AI, the Runner must pay 2[credit].",Ambush
Trick of Light,jinteki,operation,ta
Sensei,jinteki,ice,ta,"[subroutine] For the remainder of this run, each piece of ice encountered except Sensei gains ""[subroutine] End the run"" after all its other subroutines.",Code Gate
Big Brother,nbn,operation,ta,"Play only if the Runner is tagged.
Give the Runner 2 tags.",Gray Ops
ChiLo City Grid,nbn,upgrade,ta,"Whenever there is a successful trace during a run on this server, give the Runner 1 tag.
Limit 1 <strong>region</strong> per server.",Region
Power Grid Overload,weyland-consortium,operation,ta
Amazon Industrial Zone,weyland-consortium,upgrade,ta,"Whenever you install a piece of ice protecting this server, you may immediately rez it, lowering its rez cost by 3.
Limit 1 <strong>region</strong> per server.",Region
Executive Retreat,neutral-corp,agenda,ta
Freelancer,neutral-corp,operation,ta,"Play only if the Runner is tagged.
Trash up to 2 resources.",Gray Ops
Nerve Agent,anarch,program,ce,"Whenever you make a successful run on HQ, place 1 virus counter on this program.
Whenever you breach HQ, choose a number less than the number of hosted virus counters. Access that many additional cards.",Virus
Joshua B.,anarch,resource,ce,"When your turn begins, you may gain [click]. If you do, take 1 tag when this turn ends.",Connection
Emergency Shutdown,criminal,event,ce,"Play only if you made a successful run on HQ this turn.
Derez 1 installed piece of ice.",Sabotage
Muresh Bodysuit,criminal,hardware,ce,"[interrupt] → The first time each turn you would take meat damage, prevent 1 meat damage.
<errata>Errata from CR 1.4</errata>",Gear
Snitch,criminal,program,ce
Chaos Theory: Wunderkind,shaper,identity,ce,+1[mu],G-mod
Test Run,shaper,event,ce
Dinosaurus,shaper,hardware,ce,"Dinosaurus can host a single non-<strong>AI icebreaker</strong>. The memory cost of the hosted <strong>icebreaker</strong> does not count against your memory limit.
Hosted <strong>icebreaker</strong> has +2 strength.
Limit 1 <strong>console</strong> per player.",Console
Personal Workshop,shaper,resource,ce,"[click]: Host a program or piece of hardware from your grip on Personal Workshop and place power counters on it equal to its install cost.
1[credit]: Remove 1 power counter from a hosted card.
When your turn begins, remove 1 power counter from a hosted card.
When there are no power counters left on a hosted card, install it, ignoring all costs.",Location
Public Sympathy,neutral-runner,resource,ce
Project Vitruvius,haas-bioroid,agenda,ce,"When you score this agenda, place 1 agenda counter on it for each hosted advancement counter past 3.
<strong>Hosted agenda counter:</strong> Add 1 card from Archives to HQ.",Research
Viper,haas-bioroid,ice,ce,"[subroutine] <trace>Trace 3</trace> If successful, the Runner loses [click], if able.
[subroutine] <trace>Trace 3</trace> If successful, end the run.",Code Gate - Tracer
Edge of World,jinteki,asset,ce,"If Edge of World is installed and you pay 3[credit] when the Runner accesses it, do 1 brain damage for each piece of ice protecting this server.",Ambush
Sunset,jinteki,operation,ce
Marked Accounts,nbn,asset,ce,"When your turn begins, take 1[credit] from Marked Accounts, if able.
[click]: Place 3[credit] from the bank on Marked Accounts.",Transaction
Pop-up Window,nbn,ice,ce,"When the Runner encounters this ice, gain 1[credit].
[subroutine] End the run unless the Runner pays 1[credit].",Code Gate - Advertisement
Woodcutter,weyland-consortium,ice,ce,"Woodcutter can be advanced only while rezzed and gains ""[subroutine] Do 1 net damage."" for each advancement token on it.",Sentry - AP
Commercialization,weyland-consortium,operation,ce,Choose a piece of ice. Gain 1[credit] for each advancement token on that ice.,Transaction
Private Contracts,neutral-corp,asset,ce,"Place 14[credit] from the bank on Private Contracts when it is rezzed. When there are no credits left on Private Contracts, trash it.
[click]: Take 2[credit] from Private Contracts.",Transaction
Chimera,neutral-corp,ice,ce,"When you rez Chimera, choose <strong>sentry</strong>, <strong>code gate</strong>, or <strong>barrier</strong>. Chimera gains that subtype until derezzed.
When a turn ends, derez Chimera.
[subroutine] End the run.",Mythic
Disrupter,anarch,program,asis
Force of Nature,anarch,program,asis,"Interface → <strong>2[credit]:</strong> Break up to 2 <strong>code gate</strong> subroutines.
<strong>1[credit]:</strong> +1 strength.",Icebreaker - Decoder
Scrubber,anarch,resource,asis,"2[recurring-credit] <em>(When you install this card and before your turn begins, refill to 2 hosted credits.)</em>
You can spend hosted credits to pay trash costs.",Connection - Seedy
Doppelganger,criminal,hardware,asis,"+1[mu]
Once per turn, you may immediately make another run when a successful run ends.
Limit 1 <strong>console</strong> per player.",Console
Crescentus,criminal,program,asis
Deus X,shaper,program,asis,"Interface → <strong>[trash]:</strong> Break any number of <strong>AP</strong> subroutines.
[interrupt] → <strong>[trash]:</strong> Prevent any amount of net damage.",Icebreaker
All-nighter,shaper,resource,asis
Inside Man,neutral-runner,resource,asis,"2[recurring-credit]
Use these credits to install hardware.",Connection
Underworld Contact,neutral-runner,resource,asis,"When your turn begins, gain 1[credit] if you have at least 2[link].",Connection
Green Level Clearance,haas-bioroid,operation,asis,Gain 3[credit] and draw 1 card.,Transaction
Hourglass,haas-bioroid,ice,asis,"[subroutine] The Runner loses [click], if able.
[subroutine] The Runner loses [click], if able.
[subroutine] The Runner loses [click], if able.",Code Gate
Dedicated Server,jinteki,asset,asis,"2[recurring-credit]
Use these credits to rez ice.",Facility
Bullfrog,jinteki,ice,asis,"[subroutine] You and the Runner secretly spend 0[credit], 1[credit] or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, move Bullfrog so that it is the outermost piece of ice protecting another server (the Runner continues the run from this new position and is now running on this new server).",Code Gate - Deflector - Psi
Uroboros,nbn,ice,asis,"[subroutine] <trace>Trace 4</trace> If successful, the Runner cannot make another run this turn.
[subroutine] <trace>Trace 4</trace> If successful, end the run.",Sentry - Tracer
Net Police,nbn,asset,asis
Weyland Consortium: Because We Built It,weyland-consortium,identity,asis,"1[recurring-credit]
Use this credit to advance ice.",Megacorp
Government Contracts,weyland-consortium,agenda,asis
Tyrant,weyland-consortium,ice,asis,"Tyrant can be advanced only while rezzed and gains ""[subroutine] End the run."" for each advancement token on it.",Barrier
Oversight AI,weyland-consortium,operation,asis,"Rez a piece of ice, ignoring all costs, and install Oversight AI on that ice as a hosted condition counter with the text ""Trash host ice if all its subroutines are broken during a single encounter.""",Condition
False Lead,neutral-corp,agenda,asis,"<strong>Forfeit this agenda:</strong> If the Runner has 2 or more [click] remaining, they lose [click][click].",Security
Surge,anarch,event,hs
Xanadu,anarch,resource,hs,The rez cost of each piece of ice is increased by 1[credit].,Virtual
Andromeda: Dispossessed Ristie,criminal,identity,hs,You draw a starting hand of 9 cards.,Natural
Networking,criminal,event,hs
HQ Interface,criminal,hardware,hs
Pheromones,criminal,program,hs,"X[recurring-credit]
Use these credits during runs on HQ. X is the number of virus counters on Pheromones.
Whenever you make a successful run on HQ, place 1 virus counter on Pheromones.",Virus
Quality Time,shaper,event,hs
Replicator,shaper,hardware,hs
Creeper,shaper,program,hs,"If you have at least 2[link], the memory cost of this program is 0[mu], even if it is not installed.
Interface → <strong>2[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>1[credit]:</strong> +1 strength.",Icebreaker - Killer - Cloud
Kraken,neutral-runner,event,hs
Kati Jones,neutral-runner,resource,hs,"You cannot use Kati Jones more than once per turn.
[click]: Place 3[credit] from the bank on Kati Jones.
[click]: Take all credits from Kati Jones.",Connection
Eve Campaign,haas-bioroid,asset,hs,"Place 16[credit] from the bank on Eve Campaign when it is rezzed. When there are no credits left on Eve Campaign, trash it.
When your turn begins, take 2[credit] from Eve Campaign.",Advertisement
Rework,haas-bioroid,operation,hs
Whirlpool,jinteki,ice,hs,[subroutine] The Runner cannot jack out for the remainder of this run. Trash Whirlpool.,Trap
Hokusai Grid,jinteki,upgrade,hs,"Whenever the Runner makes a successful run on this server, do 1 net damage.
Limit 1 <strong>region</strong> per server.",Region
Data Hound,nbn,ice,hs,"[subroutine] <trace>Trace 2</trace> If successful, look at a number of cards from the top of the Runner's stack equal to the amount by which your trace strength exceeded his or her link strength. Trash 1 of those cards, and arrange the rest in any order.",Sentry - Tracer - Observer
Bernice Mai,nbn,upgrade,hs,"Whenever there is a successful run on this server, <trace>trace 5</trace> if successful, give the Runner 1 tag. If unsuccessful, trash Bernice Mai.",Sysop
Salvage,weyland-consortium,ice,hs,"Salvage can be advanced only while rezzed and gains “[subroutine] <trace>Trace 2</trace> If successful, give the Runner 1 tag.” for each advancement token on it.",Code Gate - Tracer
Simone Diego,weyland-consortium,upgrade,hs,"2[recurring-credit]
You can spend hosted credits to take the basic action to advance cards in the root of or protecting this server.",Sysop
Foxfire,neutral-corp,operation,hs
Retrieval Run,anarch,event,fp,"Run Archives. If successful, instead of breaching Archives, you may install 1 program from your heap, ignoring all costs.",Run
